Nb de leçons communes entre les deux témoins :298			
Nb de leçons divergentes entre les deux témoins #G1 sans >#F2: 2007			
Nb de leçons divergentes entre les deux témoins #F2 sans >#G1: 1519			
			
			
lacuna			
2			
Pourcentage : 0.6711409395973155			
Pourcentage de leçons uniquement avec les deux témoins : 0			
Lemme 			
Et chascuns tient a grant savoir. Que la ouonu on doit doner souvent. Doinst a chascun pou ou noient. Mes je vous di que mal esploite. Qui tout a retenir couvoite, Car morir couvient en la fin. Qui souvendroit de seint			
                      Martin. Et qui ses voies ensivroit. Ja certes avers ne serroit. Ne n'auroit en lui felonie. Ne mauvestié ne vilonie. Si en devroit bien sovenir: A tous ceus qui cuidentdoivent morir. Mes autresas autres ne le dïentdi je mie. Qi la mort tienent a folie. NeEt qui ne cuident ja finirmorir. Ne de cestce siecle departir. 		 (D E2 F2 G1)	1
Qi sa vie nos a retrete. ElDelDe latin qi molt bien l'a feteen romans bien faite. Au tiesmoing ceus qi l'ont leüeseüe. Et tote oïe et entendue.		 (D E2 F2 G1)	1
			
			
om.			
178			
Pourcentage : 59.73154362416108			
Pourcentage de leçons uniquement avec les deux témoins : 48.3146067415730337			
Lemme 			
si		 (D F2 G1 M1 N)	16
et 		 (F2 G1)	10
il		 (F2 G1 N)	5
a		 (F2 G1)	4
Et		 (F2 G1 M1 N)	4
de		 (E2 F2 G1)	4
i		 (C2 D E2 F2 G1 M1 N)	3
en		 (F2 G1 N)	2
et entendoit		 (F2 G1)	2
la		 (E2 F2 G1 M1 N)	2
Un autre miracle		 (C2 C3 D E2 F2 G1 M1 N)	2
mout		 (F2 G1 N)	2
meintenant		 (F2 G1 M1 N)	2
molt		 (E2 F2 G1 M1 N)	2
le		 (F2 G1)	2
seint		 (F2 G1)	2
De .seint. Martin		 (F2 G1 N)	1
les		 (C2 D E2 F2 G1 M1 N)	1
et aemplissoit		 (F2 G1)	1
partie		 (F2 G1)	1
se		 (C2 D E2 F2 G1 M1 N)	1
et		 (F2 G1)	1
et a tenir		 (F2 G1)	1
siqu'ilet si ertestoit  soudainementsi soudainnement morz		 (F2 G1)	1
mis		 (F2 G1)	1
et tolue la vie		 (F2 G1)	1
ja		 (F2 G1 M1 N)	1
ne		 (D F2 G1 M1 N)	1
devers		 (F2 G1)	1
qe		 (C2 D E2 F2 G1)	1
li seinz hom		 (F2 G1)	1
et lor habitationshabitacles		 (F2 G1)	1
qi en son mostier estoient		 (F2 G1)	1
mon signeur		 (F2 G1 M1 N)	1
et sanz doutance		 (F2 G1)	1
li seinz hom		 (F2 G1 M1 N)	1
de lacele terre		 (F2 G1)	1
Si com seinz Martins resuscita un			
              mort		 (C2 C3 D E2 F2 G1 M1 N)	1
avint		 (F2 G1)	1
q'		 (F2 G1)	1
nos		 (D E2 F2 G1)	1
et contes		 (F2 G1)	1
un pou loing		 (F2 G1 M1 N)	1
ouel temple		 (E2 F2 G1)	1
Si com il ardi un templeun temple de paiens		 (C3 D E2 F2 G1 M1 N)	1
estoient		 (C2 C3 D E2 F2 G1 M1 N)	1
cele mellee		 (F2 G1)	1
et sauvee		 (E2 F2 G1 M1)	1
Si com il abati un temple		 (C3 D E2 F2 G1 M1 N)	1
Et		 (F2 G1)	1
et entendirent		 (F2 G1)	1
et crurent		 (F2 G1)	1
je		 (C2 D E2 F2 G1)	1
